channel_name,channel_id,video_id,target_age,title,published_at,duration,duration_sec,thumbnail_path,thumbnail_url,youtube_watch_url,is_short_auto,short_reason,is_short_manual,short_check_note,is_short_final
고운,UCermBTTTr559dzLc0QMlTSQ,h-peKxN65hg,25-34,다시 찾아 온 공구있는 날 vlog,2026-03-22T02:33:24Z,PT1M21S,81,thumbnails/고운/h-peKxN65hg.jpg,https://i.ytimg.com/vi/h-peKxN65hg/maxresdefault.jpg,https://www.youtube.com/watch?v=h-peKxN65hg,True,duration,,,True
고운,UCermBTTTr559dzLc0QMlTSQ,SDKa1sS4n-A,25-34,소화력 바닥일 때 먹은 것들,2026-03-20T10:32:42Z,PT1M5S,65,thumbnails/고운/SDKa1sS4n-A.jpg,https://i.ytimg.com/vi/SDKa1sS4n-A/maxresdefault.jpg,https://www.youtube.com/watch?v=SDKa1sS4n-A,True,duration,,,True
고운,UCermBTTTr559dzLc0QMlTSQ,6irHcT3biWI,25-34,나랑 눈 마주쳤으면 여기 꼭 가보기 | 아무거나 먹는 다이어터 vlog,2026-03-17T10:19:19Z,PT1M22S,82,thumbnails/고운/6irHcT3biWI.jpg,https://i.ytimg.com/vi/6irHcT3biWI/maxresdefault.jpg,https://www.youtube.com/watch?v=6irHcT3biWI,True,duration,,,True
요가강사김선아YOGA_SUNA,UC1UYZjFfhN9CVdOfRBlGsVA,2g7kzsk52HM,25-34,#요가강사 다이어트 성공 탄력 비결은⁉️ #트리폴라 #트리폴라포즈브이엑스 #요가 #디바이스 #뷰티디바이스,2026-03-20T10:02:16Z,PT1M3S,63,thumbnails/요가강사김선아YOGA_SUNA/2g7kzsk52HM.jpg,https://i.ytimg.com/vi/2g7kzsk52HM/maxresdefault.jpg,https://www.youtube.com/watch?v=2g7kzsk52HM,True,duration,,,True
요가강사김선아YOGA_SUNA,UC1UYZjFfhN9CVdOfRBlGsVA,oPakqH1qa6g,25-34,자기전 1분 골반통증 없애기!!🧘🏻‍♀️🎀 #스트레칭 #자기전스트레칭 #골반스트레칭 #요가강사 #요가,2026-03-17T01:36:49Z,PT1M1S,61,thumbnails/요가강사김선아YOGA_SUNA/oPakqH1qa6g.jpg,https://i.ytimg.com/vi/oPakqH1qa6g/maxresdefault.jpg,https://www.youtube.com/watch?v=oPakqH1qa6g,True,duration,,,True
요가강사김선아YOGA_SUNA,UC1UYZjFfhN9CVdOfRBlGsVA,m6DaZ9-7KKg,25-34,#요가강사 서비스직? #요가자격증 #요가지도자 #요가ttc #요가,2026-03-17T01:27:16Z,PT28S,28,thumbnails/요가강사김선아YOGA_SUNA/m6DaZ9-7KKg.jpg,https://i.ytimg.com/vi/m6DaZ9-7KKg/maxresdefault.jpg,https://www.youtube.com/watch?v=m6DaZ9-7KKg,True,duration,,,True
요가강사김선아YOGA_SUNA,UC1UYZjFfhN9CVdOfRBlGsVA,SWgu8tzAP_A,25-34,🪷 #요가자격증 #요가지도자 #요가ttc 주목🧘🏻‍♀️💗 #요가강사 #요가,2026-03-17T01:24:46Z,PT22S,22,thumbnails/요가강사김선아YOGA_SUNA/SWgu8tzAP_A.jpg,https://i.ytimg.com/vi/SWgu8tzAP_A/maxresdefault.jpg,https://www.youtube.com/watch?v=SWgu8tzAP_A,True,duration,,,True
요가강사김선아YOGA_SUNA,UC1UYZjFfhN9CVdOfRBlGsVA,f8Q3lVbNxBE,25-34,#요가지도자 거리 중요해요! 증말🥺 #요기자격증 #요가 #요가ttc #요가강사 🪷,2026-03-17T01:21:58Z,PT21S,21,thumbnails/요가강사김선아YOGA_SUNA/f8Q3lVbNxBE.jpg,https://i.ytimg.com/vi/f8Q3lVbNxBE/maxresdefault.jpg,https://www.youtube.com/watch?v=f8Q3lVbNxBE,True,duration,,,True
디어다빈_영양사의 다이어트,UC0NazDJj6HZnqXR9x9HiXEg,FkCV3Z6WFm0,25-34,여러분 제발 잠 좀 주무세요...,2026-03-19T00:44:58Z,PT1M11S,71,thumbnails/디어다빈_영양사의다이어트/FkCV3Z6WFm0.jpg,https://i.ytimg.com/vi/FkCV3Z6WFm0/maxresdefault.jpg,https://www.youtube.com/watch?v=FkCV3Z6WFm0,True,duration,,,True
디어다빈_영양사의 다이어트,UC0NazDJj6HZnqXR9x9HiXEg,MSjC3w41byU,25-34,살 빠지는데 피부까지 좋아지는 초간단 아침 습관,2026-03-19T00:44:53Z,PT1M20S,80,thumbnails/디어다빈_영양사의다이어트/MSjC3w41byU.jpg,https://i.ytimg.com/vi/MSjC3w41byU/maxresdefault.jpg,https://www.youtube.com/watch?v=MSjC3w41byU,True,duration,,,True
