video_id,channel_name,title,duration,duration_sec,short_reason,youtube_watch_url,thumbnail_path,is_short_manual,short_check_note
AO0WdduGiSg,SOOD_Edward Park,교정장치 왜 떨어져요?,PT37S,37,duration,https://www.youtube.com/watch?v=AO0WdduGiSg,thumbnails/SOOD_EdwardPark/AO0WdduGiSg.jpg,,
9Ml2pT3lOK8,건강 다다다 종근당건강 공식 유튜브,지속형 다이어트를 위한 필수템✨,PT1M13S,73,duration,https://www.youtube.com/watch?v=9Ml2pT3lOK8,thumbnails/건강다다다종근당건강공식유튜브/9Ml2pT3lOK8.jpg,,
hWp2fXM-fvw,건강 다다다 종근당건강 공식 유튜브,[요약편] 혈액순환 개선! 당신의 몸을 바꿔줄 6가지 음식 🍽️✨,PT51S,51,duration,https://www.youtube.com/watch?v=hWp2fXM-fvw,thumbnails/건강다다다종근당건강공식유튜브/hWp2fXM-fvw.jpg,,
og7mdLEtMP0,건강 다다다 종근당건강 공식 유튜브,혈액순환 개선! 당신의 몸을 바꿔줄 6가지 음식 🍽️✨,PT1M46S,106,duration,https://www.youtube.com/watch?v=og7mdLEtMP0,thumbnails/건강다다다종근당건강공식유튜브/og7mdLEtMP0.jpg,,
yTQQkJH2NYE,건강 다다다 종근당건강 공식 유튜브,겨울 되면 귤 당겨지시죠? 그건 몸이 비타민C를 원하는 신호예요!,PT1M26S,86,duration,https://www.youtube.com/watch?v=yTQQkJH2NYE,thumbnails/건강다다다종근당건강공식유튜브/yTQQkJH2NYE.jpg,,
nq6_e2Velv8,건강 다다다 종근당건강 공식 유튜브,"겨울마다 속 더부룩한 당신, 장에 무슨 일이? (이유 알려줌)",PT1M28S,88,duration,https://www.youtube.com/watch?v=nq6_e2Velv8,thumbnails/건강다다다종근당건강공식유튜브/nq6_e2Velv8.jpg,,
OX9of8r_j88,Hoo dance & fitness(후보티비),"부기바운스(Buggy Bounce)-햄부기(이수지) 이지댄스, 다이어트댄스 연습모드 /출처 참고영상: 유튜브 채널 썬데이 Dance Workout",PT2M39S,159,duration,https://www.youtube.com/watch?v=OX9of8r_j88,thumbnails/Hoodancefitness후보티비/OX9of8r_j88.jpg,,
B0pIauQyyck,대준수학 TV,마스터즈 대회 금메달의 대회전 웜업 영상,PT2M8S,128,duration,https://www.youtube.com/watch?v=B0pIauQyyck,thumbnails/대준수학TV/B0pIauQyyck.jpg,,
podiy-X6v5U,대준수학 TV,#수영 #대회 #마스터즈,PT1M4S,64,duration,https://www.youtube.com/watch?v=podiy-X6v5U,thumbnails/대준수학TV/podiy-X6v5U.jpg,,
Kkq0aXWs3h8,대준수학 TV,인천 수영모임인 도치스윔의 대관 훈련중에 나온 웃긴 영상입니다. #funny #웃긴영상 #수영장,PT26S,26,duration,https://www.youtube.com/watch?v=Kkq0aXWs3h8,thumbnails/대준수학TV/Kkq0aXWs3h8.jpg,,
8jq2SUMReA0,대준수학 TV,성심당 빵을 사다주는 친구 만날 때 꾸밈정도 #성심당 #빵 #샌드위치 #성심당샌드위치,PT19S,19,duration,https://www.youtube.com/watch?v=8jq2SUMReA0,thumbnails/대준수학TV/8jq2SUMReA0.jpg,,
X_Dw4K3cFUQ,대준수학 TV,오징어게임2에 나온 공기 놀이,PT25S,25,duration,https://www.youtube.com/watch?v=X_Dw4K3cFUQ,thumbnails/대준수학TV/X_Dw4K3cFUQ.jpg,,
1IUW1X5O0RM,따시기(Ddasigi),Pilates pre-race warm-up #필라테스 #pilates,PT17S,17,duration,https://www.youtube.com/watch?v=1IUW1X5O0RM,thumbnails/따시기Ddasigi/1IUW1X5O0RM.jpg,,
KS1AmJsD4BM,따시기(Ddasigi),outdoor yoga season spring #요가 #yoga #야외요가,PT27S,27,duration,https://www.youtube.com/watch?v=KS1AmJsD4BM,thumbnails/따시기Ddasigi/KS1AmJsD4BM.jpg,,
