channel_name,channel_id,target_age
척추관절 바른TV-연세바른병원,UCWk_4bcnHBfO4V2syOOgo5g,small
카이안과,UCZ76XVvVdIMLuoMmgilklzQ,small
상쾌한의사 김성찬 ,UC9bhIPpJZFJhMh7e7BP7l9w,small
시니어건강회관2,UC34-Orqw21kiUkwR-v3scaw,small
ADHD 대표채널,UCi3bGxt2tQoGaTH2Wmbh81w,small
피지컬에셋,UCKgnUtkVL8o9U2h3451sBVA,medium
멘탈탄탄 | 정신과의사의 멘탈 관리 채널 ,UCsZTB_r7ffbXIcnZmav2AFg,small
여의사의 산부인과 이야기.,UC-jDMqzWRJj16_HHyi4OX1Q,medium
물리치료사.PT재석,UCsyhk1jx2eeafzMSYhQc9Mg,large
아침동산,UCuZQ7lJnqe-LBCVjy9OYBKw,small
Tempo:rest,UCSBBghDcPUpWl7ietzdL6EA,small
Relax Gently,UCHLxiySp_bOSL0TsUcPV0Iw,medium
남녀의학연구소,UC9Bb-XcWooi5yVCng46xaZg,small
힐링루미나 Healing Lumina,UCY-OANuBvks2lBMgAfZgh6g,small
뇌가 편안해지는 시간,UC28xZyNPM9109MTC-QZ9etA,small
지혜백세,UCi3H9NCIKQ4IzcLBTGyD_1w,medium
든든라디오,UC6dzCW8IGCSpRRP9lpBn_Ag,small
하루 당뇨식사,UCZqZNpYCBkjS3b59YW27BkA,medium
1분팁,UCH4Recm0sHhd3bEc_r54YmA,small
Key Meditation,UCfulSi1BlEu5wETySe-EiHQ,small
내과전문의 닥터케이 Dr.K,UC9p63MYZE5nUKmr2RS0fNwA,large
Likesweetmango - Beautiful & Powerful Life,UC4Z0SLdvRc7s6oVO0ZpuQgw,medium
시니어 지혜,UCZbGKOabnuCDGgfNlKqxm0g,small
한국인의 건강,UCgXALihpISmnxe7FDptwvlw,small
백세의 비밀,UCNtfFNmmBnjypX-XnDHeSjw,small
연세재활운동센터,UCdThhoXBOMyTLbaKz-tFgSQ,small
박서희 정신과의사,UCfW5yhlUy-DeU5tPym8xDNQ,medium
박경숙 원장의 온통보감,UCKCLI9BYUThLn6MY23haVjA,small
백세건강채널,UCyb1ZjcHhqZm4_XDMAFB4Hw,medium
건강박사의 장수노트,UCNvZm2nE9jzGmJwHC7ZnjpQ,medium
근거중심이약사,UC_1FUQM1JpDniNWHP_7ua1A,small
키다리형,UChWJavW1PbvAkPTcB06EeIg,large
국민건강보험,UC7tsTpx4Ra-oJrjIb9ItBUA,medium
당뇨TV#,UCXfilB-iiwh3jlew8eVzKRg,medium
시니어빵빵,UCzgS8oh8QTjVwMbIPg4DKsQ,medium
SNPE TV,UCyXuz3cs51oRt5i56MUQ7ow,medium
지혜로운 당신 TV,UC2WzpFRsIJcN1drQdIbczQw,small
JUNGDAYEON,UCUyTqfwiT2sRpjxbfPyQF7g,large
YJ Care Clinic,UCRY4kdkYSPtsy6to4FEAaog,small
천약사의건강과 약이야기,UC4KS40p1OWvyA5kRNroC4Bg,small
네츄럴보디빌딩학과,UCHQj5T2MD6vD4K6Zc3We6pg,small
이상구박사의 뉴스타트강의,UCcf-zuaFCeROvAATf5UI0uA,small
인생이시트콤_고구마 VLOG,UCHYv07UtJkjSu3qDoo2he_Q,medium
모멘트핏 록코치,UChku6cgDNkiIQWlyi1TgA8g,large
우리들병원TV,UC2ATsiBGQuX_ON58mu3utWw,medium
اعمال يدويه وافكار حلوه كتير,UCAQFDZGmQQeZS4_2q5GZR9Q,large
약사남편,UCfrI61io4dNFArWf8DGOaDw,medium
 건강한tv,UCtqwpBL2jE66ZpcWylbv08w,small
실버라디오_노후건강_시니어정보_노후지혜,UC7YpVJjhPta4sJcvGUutM_g,large
보담티비,UC66diRcDsDtXqFffHD3zcVQ,small
정형외과  전문의  선지호,UC6vLOP7CPkAdfA9qD9ViqiA,small
동아쏘시오그룹,UCjvjF9hnjwXUgig5EZxADyQ,small
Dentiumworld,UCvKSX42Fxb9t48Td8neg4YA,small
서울의료센터,UCBuNljfs8MtTpcRlG8YvD2Q,small
헝그리스포츠,UCE9sh6noNA7vBPSWPA4VFZg,small
다이어터윤,UCjf97H7AtbVfrX8-35Z302Q,small
바른의사 백승우,UCDy8IPYmRu6WbDUyAs1ffyg,medium
임현우의 이어앤썰,UC-vK7SFuT0ZI4t4e9T7SOrw,small
