channel_name,channel_id,target_age
서울의료센터,UCBuNljfs8MtTpcRlG8YvD2Q,health
헝그리스포츠,UCE9sh6noNA7vBPSWPA4VFZg,health
다이어터윤,UCjf97H7AtbVfrX8-35Z302Q,health
바른의사 백승우,UCDy8IPYmRu6WbDUyAs1ffyg,health
임현우의 이어앤썰,UC-vK7SFuT0ZI4t4e9T7SOrw,health
좋은균 연구소,UCgDOVDGCIxLgrG34_rrjMjQ,health
비핏Bfit,UCUXlYdszhFOnKev2fdqZ7iA,health
나헌식TV,UCBfF9OOAAc-Vxv48qno9Tpg,health
볼매의사@닥터 히포크라타,UCyR65hQEudqUWENG5yNgTGw,health
시니어라디오TV,UCwa7pdbWG2PdpT6jqZc_fKw,health
야생화의신비 Wildflower Mystery,UCF9Ks4KdgTwnA6MuLboQESQ,health
고마온TV 건강자립,UCsRT6RCiTNrBvsJ_rJgJkYQ,health
카니비비안 carni_vivien,UCR8J54wOMKVKfuLIECaBFGQ,health
Dental Bean,UCXX2GqXsMEXnFRSxewFcGOA,health
유경쌤의 미소학개론,UCl1wbnBjMxh0Zw38FnAS7ng,health
아는성님,UCU4Y6hJ3GaAu0BBE4z8maRA,health
[ATOMY KOREA Official]애터미 공식 제품 채널,UCHwi1XQ7a0hWJ7RoDn9MAjQ,health
백세지혜연구소,UCWQcdyZjvns8Lg2WerORUQQ,health
선잘의 FM 라디오,UCnBGIDINHIxmvjA-14cmMwg,health
명탐정 쿠키,UC7KNZD0DkgDtAnZm0KCdhZQ,health
"우리 아이 마음 해결사, 우아해",UCc2258li2l4AUN25pIxXFTQ,health
DR.유미의 성(性)세포들,UCJkmwh-4kFkhxT_fNEGkhnw,health
매력적인 노년 이야기,UCRf1axswcRFRbFtpR1LqdkA,health
무강이,UCaMWoM36v8pKgVmyVn8W-1A,health
행복한기다림 미희TV,UCBfQfFkKkMCYjJ4aj0FqI8A,health
내귀에닥터,UCVYrNBxy9BiRseD5EtZGTng,health
엠디TV [20년 Only 가슴성형],UCEKTF51I3UiM19UetQqLxMQ,health
