Channel Name,Channel Link,channel_id,Subscribers,Average Daily Views
Eating what is Given 오스틴,https://vling.net/channel/UC_lPYQ5ddh506aZ9CcEUIig,UC_lPYQ5ddh506aZ9CcEUIig,137000,1007
슈왕 Chef_Shu Wang,https://vling.net/channel/UCUkEZPjq4BSwWc9MkucreuA,UCUkEZPjq4BSwWc9MkucreuA,13100,820
선식객 - Sik Agent,https://vling.net/channel/UCIf88IZHDFVQ0jG9qnY0NhA,UCIf88IZHDFVQ0jG9qnY0NhA,31300,1144
남자의 취미,https://vling.net/channel/UCducfzODC9lt4cR0tZBOOxw,UCducfzODC9lt4cR0tZBOOxw,285000,10404
엄마의가정식,https://vling.net/channel/UCDLxnMLoGSRHYp7jsGVb2yg,UCDLxnMLoGSRHYp7jsGVb2yg,139000,8708
노장금TV,https://vling.net/channel/UCtuFPfep1gUMJD1hieSkvyQ,UCtuFPfep1gUMJD1hieSkvyQ,11400,107
뚱열이형,https://vling.net/channel/UCsNhrVZ3OnwsjjbgRYPOyMA,UCsNhrVZ3OnwsjjbgRYPOyMA,11300,139
섬마을훈태TV,https://vling.net/channel/UCkBoDzncl64EZ-Ggh4g5pCw,UCkBoDzncl64EZ-Ggh4g5pCw,545000,43606
아델코바늘 Adel Crochet,https://vling.net/channel/UCanfXQ5hNSHwMtxOgg6ihnQ,UCanfXQ5hNSHwMtxOgg6ihnQ,689000,24021
야가다 주호,https://vling.net/channel/UCSpj7T1DuVUA5U7DaLS9Lzg,UCSpj7T1DuVUA5U7DaLS9Lzg,37800,190664
진상처리반 [jinsang TV],https://vling.net/channel/UCsEphGNFU7nkVrgXsX-R7zg,UCsEphGNFU7nkVrgXsX-R7zg,140000,2315
라온살림Laon_salrim,https://vling.net/channel/UCopY5Bfjxcj9ZkVBtenX9aA,UCopY5Bfjxcj9ZkVBtenX9aA,235000,5369
고봉이네 Gobong's Story,https://vling.net/channel/UCeCmOrVaCGwKGMIWP948WNw,UCeCmOrVaCGwKGMIWP948WNw,13700,152
떡볶퀸 Tteokbokqueen,https://vling.net/channel/UCAoyR-sL6B0S93AMR-HVTvg,UCAoyR-sL6B0S93AMR-HVTvg,652000,134529
방구석광부,https://vling.net/channel/UCqE1H2Rc6EIU2Fx5lzwLCdg,UCqE1H2Rc6EIU2Fx5lzwLCdg,143000,93
맛집오타쿠😋マッチブオタク,https://vling.net/channel/UCwyaafBJhy77UoFc8PrMLiA,UCwyaafBJhy77UoFc8PrMLiA,48400,1007
FoodTory 푸드토리,https://vling.net/channel/UC5WgT84wRQkhKfUIJI6Pl2w,UC5WgT84wRQkhKfUIJI6Pl2w,95000,3333
슈가레인 조한빛,https://vling.net/channel/UCY6-zah4BaTfM5lb5QbX_aA,UCY6-zah4BaTfM5lb5QbX_aA,14700,779
양자야 yangja,https://vling.net/channel/UCsjXKHduDVkGGtHItRVlA-g,UCsjXKHduDVkGGtHItRVlA-g,45600,32408
오-하리 O-Hari,https://vling.net/channel/UCO40W-yuMnpSUaN3Ti46F9A,UCO40W-yuMnpSUaN3Ti46F9A,229000,22980
까치가족 TV KKACHI Family,https://vling.net/channel/UCEOhtAkf0MbKP_dvUYWcPNg,UCEOhtAkf0MbKP_dvUYWcPNg,70600,19684
사랑과 은혜,https://vling.net/channel/UCjJCcXQ1al2Wbq5mkVDYcaQ,UCjJCcXQ1al2Wbq5mkVDYcaQ,58400,1040
마더쿡 Mother Cook,https://vling.net/channel/UCCKMOUzcg1qSXlJcd2jCemQ,UCCKMOUzcg1qSXlJcd2jCemQ,15500,6208
(色示味) 푸다트 FoodArt,https://vling.net/channel/UCC0NzGgoVIdZoBd7QT4f7VA,UCC0NzGgoVIdZoBd7QT4f7VA,17400,7
CHEF OBANG,https://vling.net/channel/UCrUEXP6hWij1STtjO4MGLFA,UCrUEXP6hWij1STtjO4MGLFA,419000,17208
비연Beeyeon,https://vling.net/channel/UCowzNAHxPyiZoIfodZCouiw,UCowzNAHxPyiZoIfodZCouiw,268000,124080
베이크앤미 BAKE & 米,https://vling.net/channel/UCuHLhPEAckdINL15Cwdj8wg,UCuHLhPEAckdINL15Cwdj8wg,15000,2676
맛좋아연,https://vling.net/channel/UCJV_QOD5n-9AzrVGzZ_-mog,UCJV_QOD5n-9AzrVGzZ_-mog,171000,14346
과나gwana,https://vling.net/channel/UCZVD--cl8FLRn7kmSudAuBA,UCZVD--cl8FLRn7kmSudAuBA,999000,35574
상하이신 ShanghaiShin,https://vling.net/channel/UCDYcFxOUYQgFaFtu4I6_uyw,UCDYcFxOUYQgFaFtu4I6_uyw,21900,3427
아리 AREE,https://vling.net/channel/UCTNjpHEtyz4PTFfYfYsv9SA,UCTNjpHEtyz4PTFfYfYsv9SA,10600,252
스튜디오 수제,https://vling.net/channel/UC4ZA57iJrf73bJlApKFeLRw,UC4ZA57iJrf73bJlApKFeLRw,1250000,568234
정인숙 자연 발효 밥상,https://vling.net/channel/UCK_eNXVz67P6zwPo28tb2GA,UCK_eNXVz67P6zwPo28tb2GA,53500,7439
국전문거창,https://vling.net/channel/UC_68ISPbWhbx9So4YMtsORw,UC_68ISPbWhbx9So4YMtsORw,11600,21973
마시즘,https://vling.net/channel/UCKOwuJ5n5XcvCW3NbCwwd7Q,UCKOwuJ5n5XcvCW3NbCwwd7Q,65300,18590
live fish fillet 거제도 수아아빠TV_ (dress Fish),https://vling.net/channel/UCUBJd6JEUqmjgttfWK78m_Q,UCUBJd6JEUqmjgttfWK78m_Q,122000,3067
맥형TV,https://vling.net/channel/UCFl-99LMN1M90gYtaRpT2sw,UCFl-99LMN1M90gYtaRpT2sw,114000,3020
