title,channel_link,subscriberCount,dailyViewCount,gender_F,gender_M,age_0_17,age_18_24,age_25_34,age_35_44,age_45_54,age_55_64,age_65_plus
혀끝의 항해,https://www.youtube.com/channel/UCwKzMmO4ehNXMtg7dUwXCWg,2470,905388,25.0,74.0,,,,,,,
소개팁 IntroTip,https://www.youtube.com/channel/UC3CELODQnl5pGSWyS3OmMOA,564000,895617,61.0,38.0,4.504048582995952,19.281376518218625,37.651821862348186,20.647773279352226,13.917004048582996,3.0364372469635628,0.9615384615384616
자취리뷰,https://www.youtube.com/channel/UCTM_-rgJSWI4uElao2Y3Dzw,63700,893397,49.0,50.0,,,,,,,
옛장수,https://www.youtube.com/channel/UCtkaAGTre1tvt25XsMcAX4w,238000,891703,39.0,60.0,3.9576365663322193,15.830546265328877,30.21181716833891,28.14938684503902,16.22073578595318,4.1806020066889635,1.4492753623188408
요리덕후 김주임,https://www.youtube.com/channel/UCuaNLA3_w1VdfZMvXVRHsSA,311000,886405,46.0,53.0,5.4723799690242645,21.579762519359836,38.82292204439855,19.101703665462054,12.18378936499742,2.0134228187919465,0.8260196179659267
MBN Entertainment,https://www.youtube.com/channel/UCYyLIlOJyqkAFKlVjzX5img,2920000,870151,37.0,62.0,,,,,,,
서은이야기[SeoeunStory],https://www.youtube.com/channel/UCVihezVtsguXEouYvtKmKYA,9230000,867153,58.0,41.0,5.3360697793740375,6.2596203181118515,13.083632632119036,47.71677783478707,22.165212929707543,2.873268342739866,2.565418163160595
Street Food,https://www.youtube.com/channel/UCrY9OtJQoHRnl3WbFZPPf-A,0,850179,37.0,60.0,6.1,25.5,23.3,22.0,15.6,4.9,2.3
신사들,https://www.youtube.com/channel/UCvs3nruVZxBqXRFeNNJgSpw,11700,849811,33.7,66.20000000000002,4.5,16.6,34.7,23.9,16.2,3.2,0.8
국뽕휴게소,https://www.youtube.com/channel/UCyVSuYUuRH8esizZI2Dvy_g,36200,849427,32.0,67.0,,,,,,,
일상속으로,https://www.youtube.com/channel/UCWOMLDeAIu6PCqLM01WxxPg,239000,828073,19.3,80.80000000000001,0.6,6.6,27.1,25.0,22.1,13.2,5.5
스튜디오 수제,https://www.youtube.com/channel/UC4ZA57iJrf73bJlApKFeLRw,1250000,827821,35.0,64.0,3.741314804917157,16.141101015499736,33.244254409406736,21.806520577231424,18.92036344200962,4.810261892036345,1.3361838588989845
예?,https://www.youtube.com/channel/UCRKrQD_wgJoPPod5Ztt4aSA,242000,826414,41.0,58.0,4.8832271762208075,18.3651804670913,33.333333333333336,21.709129511677283,16.242038216560513,4.352441613588111,1.1146496815286626
정육왕 MeatCreator,https://www.youtube.com/channel/UC1oXmhvYHVI2bApphh3IzuQ,767000,824750,5.000000000000001,94.8,0.6,11.200000000000001,47.4,26.099999999999998,10.4,3.1,1.0
스크린쿡,https://www.youtube.com/channel/UCBigI6MLE_erqm5T4NSl6mg,27600,811437,25.0,74.0,,,,,,,
더들리,https://www.youtube.com/channel/UCmJEpV4hLzGWLU5rrdOHMhQ,1190000,810797,28.0,71.0,,,,,,,
냠냠,https://www.youtube.com/channel/UCZdZD_q4xh-8gKgWX949Yvg,386000,802039,48.0,51.0,4.666332162568992,21.274460612142494,36.97942799799298,19.41796287004516,13.898645258404416,2.8098344204716503,0.95333667837431
요리하는 과장 요과장,https://www.youtube.com/channel/UCEWZJyigWxHd-c4NrGxh6mA,244000,800076,36.5,63.4,4.338948443083206,19.39765186319551,38.43797856049005,20.622766717713116,13.578356304236856,2.807554874936192,0.8167432363450741
긍정메시지,https://www.youtube.com/channel/UCWwoab5_9nsHqefQP0Yjp4A,81700,797597,39.0,60.0,,,,,,,
김대석 셰프TV,https://www.youtube.com/channel/UC1g9JaEVLOFGhH8hpaK--Jg,2740000,789920,75.3,24.5,0.0,0.6,3.9000000000000004,6.1,13.8,30.5,44.9
문금이연구소,https://www.youtube.com/channel/UC44EE47V_01xHxbyJ6o-D1A,20800,781739,47.0,52.0,6.312997347480106,8.0106100795756,16.445623342175068,41.22015915119364,22.3342175066313,3.183023872679046,2.4933687002652523
찜꽁픽,https://www.youtube.com/channel/UCU1IKPSpo4lTXGtOthFF4-Q,201000,770069,55.0,44.0,0.10770059235325796,1.3462574044157243,6.30048465266559,13.408723747980615,27.679052234787292,31.502423263327948,19.655358104469574
